amfi_code,scheme_name,alpha,beta,r_squared
119551,SBI Bluechip Fund - Regular Plan - Growth,23.201,-0.032,0.001
119552,SBI Bluechip Fund - Direct Plan - Growth,19.869,-0.026,0.001
119598,SBI Small Cap Fund - Regular Plan - Growth,30.337,-0.023,0.0
119599,SBI Small Cap Fund - Direct Plan - Growth,4.882,0.062,0.001
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.621,-0.006,0.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.748,-0.058,0.003
125497,HDFC Top 100 Fund - Direct Plan - Growth,17.73,0.049,0.002
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.195,0.005,0.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.989,0.009,0.0
100025,HDFC Short Term Debt Fund - Regular - Growth,4.282,0.001,0.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.703,-0.04,0.001
120504,ICICI Pru Bluechip Fund - Direct - Growth,21.195,0.016,0.0
120505,ICICI Pru Midcap Fund - Regular - Growth,29.264,0.001,0.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.254,0.042,0.001
120507,ICICI Pru Liquid Fund - Regular - Growth,6.746,-0.0,0.0
118632,Nippon India Large Cap Fund - Regular - Growth,21.829,-0.008,0.0
118633,Nippon India Large Cap Fund - Direct - Growth,15.644,-0.037,0.001
118634,Nippon India Small Cap Fund - Regular - Growth,17.501,0.103,0.003
118635,Nippon India ETF Nifty 50 BeES,15.136,-0.001,0.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.075,0.001,0.0
120841,Kotak Bluechip Fund - Regular - Growth,13.043,0.036,0.001
120842,Kotak Emerging Equity Fund - Regular - Growth,7.804,0.018,0.0
120843,Kotak Flexicap Fund - Regular - Growth,27.33,-0.023,0.0
120844,Kotak Liquid Fund - Regular - Growth,6.456,-0.0,0.0
119092,Axis Bluechip Fund - Regular - Growth,6.9,0.01,0.0
119093,Axis Bluechip Fund - Direct - Growth,8.233,0.026,0.001
119094,Axis Midcap Fund - Regular - Growth,26.077,-0.066,0.002
119095,Axis Small Cap Fund - Regular - Growth,4.802,-0.067,0.001
101206,ABSL Frontline Equity Fund - Regular - Growth,21.4,0.021,0.0
101207,ABSL Small Cap Fund - Regular - Growth,10.897,-0.065,0.001
101208,ABSL Liquid Fund - Regular - Growth,6.086,0.0,0.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,17.049,-0.019,0.0
102886,UTI Mid Cap Fund - Regular - Growth,2.897,-0.042,0.001
102887,UTI Flexi Cap Fund - Regular - Growth,16.211,0.017,0.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,26.984,0.024,0.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.873,-0.026,0.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.27,0.018,0.0
149322,DSP Top 100 Equity Fund - Regular - Growth,13.173,-0.004,0.0
149323,DSP Midcap Fund - Regular - Growth,26.599,-0.003,0.0
149324,DSP Small Cap Fund - Regular - Growth,30.058,0.011,0.0
