amfi_code,scheme_name,expense_ratio_pct,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,score,overall_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.46,34.0,1.448,26.984,-11.27,2.0,1.0,7.0,23.0,8.0,83.75,1
120505,ICICI Pru Midcap Fund - Regular - Growth,1.36,31.78,1.18,29.264,-18.19,5.0,5.0,3.0,15.0,25.0,79.75,2
120843,Kotak Flexicap Fund - Regular - Growth,1.45,29.58,1.307,27.33,-12.97,7.0,2.0,5.0,22.0,13.0,79.5,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.38,32.44,1.094,27.195,-16.22,4.0,7.0,6.0,17.0,20.0,78.25,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.8,32.49,1.027,21.195,-12.59,3.0,9.5,13.0,12.0,12.0,77.81,5
119094,Axis Midcap Fund - Regular - Growth,1.38,35.11,0.998,26.077,-20.96,1.0,11.0,9.0,17.0,28.0,74.5,6
119551,SBI Bluechip Fund - Regular Plan - Growth,1.54,30.46,1.208,23.201,-15.01,6.0,4.0,10.0,30.5,17.0,72.31,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.6,29.18,1.235,28.27,-16.4,8.0,3.0,4.0,36.5,21.0,71.19,8
101206,ABSL Frontline Equity Fund - Regular - Growth,1.6,28.97,1.027,21.4,-11.29,9.0,9.5,12.0,36.5,9.0,65.38,9
119598,SBI Small Cap Fund - Regular Plan - Growth,1.43,26.67,0.945,30.337,-28.71,12.0,14.0,1.0,21.0,36.0,64.88,10
149323,DSP Midcap Fund - Regular - Growth,1.61,26.87,1.132,26.599,-17.25,11.0,6.0,8.0,38.0,22.0,64.25,11
149324,DSP Small Cap Fund - Regular - Growth,1.52,27.0,0.95,30.058,-31.17,10.0,13.0,2.0,26.5,37.0,64.19,12
118632,Nippon India Large Cap Fund - Regular - Growth,1.51,22.65,1.082,21.829,-17.41,14.0,8.0,11.0,24.5,23.0,64.06,13
119552,SBI Bluechip Fund - Direct Plan - Growth,0.66,16.27,0.953,19.869,-11.8,23.0,12.0,15.0,4.0,11.0,63.5,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.92,18.43,0.776,17.73,-15.2,19.0,18.0,16.0,14.0,18.0,56.75,15
118635,Nippon India ETF Nifty 50 BeES,0.89,20.01,0.665,15.136,-11.65,17.0,19.0,23.0,13.0,10.0,56.5,16
118633,Nippon India Large Cap Fund - Direct - Growth,0.72,21.09,0.645,15.644,-18.63,15.0,21.0,22.0,5.5,26.0,56.06,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,1.57,19.67,0.817,17.049,-10.86,18.0,16.0,19.0,34.0,7.0,52.5,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,1.42,13.98,0.798,17.703,-13.9,25.0,17.0,17.0,20.0,14.0,51.12,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.52,14.75,0.926,20.873,-15.27,24.0,15.0,14.0,26.5,19.0,50.94,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,1.41,18.42,0.649,16.254,-19.83,20.0,20.0,20.0,19.0,27.0,48.62,21
120507,ICICI Pru Liquid Fund - Regular - Growth,0.74,7.39,0.496,6.746,-0.1,29.0,23.0,31.0,7.0,1.0,45.5,22
119093,Axis Bluechip Fund - Direct - Growth,0.75,20.82,0.13,8.233,-21.75,16.0,29.0,28.0,8.0,31.0,45.12,23
102887,UTI Flexi Cap Fund - Regular - Growth,1.64,25.56,0.62,16.211,-21.54,13.0,22.0,21.0,39.5,30.0,43.69,24
149322,DSP Top 100 Equity Fund - Regular - Growth,1.54,18.04,0.464,13.173,-14.84,21.0,25.0,24.0,30.5,16.0,41.19,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.78,11.25,0.301,11.989,-21.12,26.0,27.0,26.0,10.0,29.0,39.62,26
120844,Kotak Liquid Fund - Regular - Growth,0.6,6.7,-0.089,6.456,-0.12,30.0,34.0,32.0,3.0,2.0,38.62,27
