date,nav,scheme_code,fund_name,fund_house
01-06-2026,166.86990,125494,SBI_Small_Cap,SBI Mutual Fund
31-05-2026,168.05710,125494,SBI_Small_Cap,SBI Mutual Fund
29-05-2026,168.06540,125494,SBI_Small_Cap,SBI Mutual Fund
27-05-2026,169.25750,125494,SBI_Small_Cap,SBI Mutual Fund
26-05-2026,168.54570,125494,SBI_Small_Cap,SBI Mutual Fund
25-05-2026,167.97150,125494,SBI_Small_Cap,SBI Mutual Fund
22-05-2026,166.73510,125494,SBI_Small_Cap,SBI Mutual Fund
21-05-2026,166.42170,125494,SBI_Small_Cap,SBI Mutual Fund
20-05-2026,164.78380,125494,SBI_Small_Cap,SBI Mutual Fund
19-05-2026,164.51760,125494,SBI_Small_Cap,SBI Mutual Fund
18-05-2026,163.09540,125494,SBI_Small_Cap,SBI Mutual Fund
15-05-2026,165.12650,125494,SBI_Small_Cap,SBI Mutual Fund
14-05-2026,164.86450,125494,SBI_Small_Cap,SBI Mutual Fund
13-05-2026,165.32770,125494,SBI_Small_Cap,SBI Mutual Fund
12-05-2026,165.46250,125494,SBI_Small_Cap,SBI Mutual Fund
11-05-2026,169.78100,125494,SBI_Small_Cap,SBI Mutual Fund
08-05-2026,170.91710,125494,SBI_Small_Cap,SBI Mutual Fund
07-05-2026,171.43590,125494,SBI_Small_Cap,SBI Mutual Fund
06-05-2026,170.16180,125494,SBI_Small_Cap,SBI Mutual Fund
05-05-2026,168.91380,125494,SBI_Small_Cap,SBI Mutual Fund
04-05-2026,169.68590,125494,SBI_Small_Cap,SBI Mutual Fund
30-04-2026,167.93460,125494,SBI_Small_Cap,SBI Mutual Fund
29-04-2026,168.58000,125494,SBI_Small_Cap,SBI Mutual Fund
28-04-2026,168.00370,125494,SBI_Small_Cap,SBI Mutual Fund
27-04-2026,168.30900,125494,SBI_Small_Cap,SBI Mutual Fund
24-04-2026,165.89770,125494,SBI_Small_Cap,SBI Mutual Fund
23-04-2026,167.62880,125494,SBI_Small_Cap,SBI Mutual Fund
22-04-2026,168.64060,125494,SBI_Small_Cap,SBI Mutual Fund
21-04-2026,167.29560,125494,SBI_Small_Cap,SBI Mutual Fund
20-04-2026,165.92580,125494,SBI_Small_Cap,SBI Mutual Fund
17-04-2026,165.47270,125494,SBI_Small_Cap,SBI Mutual Fund
16-04-2026,163.57180,125494,SBI_Small_Cap,SBI Mutual Fund
15-04-2026,162.66080,125494,SBI_Small_Cap,SBI Mutual Fund
13-04-2026,160.12330,125494,SBI_Small_Cap,SBI Mutual Fund
10-04-2026,160.43550,125494,SBI_Small_Cap,SBI Mutual Fund
09-04-2026,157.44110,125494,SBI_Small_Cap,SBI Mutual Fund
08-04-2026,156.86490,125494,SBI_Small_Cap,SBI Mutual Fund
07-04-2026,151.87830,125494,SBI_Small_Cap,SBI Mutual Fund
06-04-2026,151.95200,125494,SBI_Small_Cap,SBI Mutual Fund
02-04-2026,151.03760,125494,SBI_Small_Cap,SBI Mutual Fund
01-04-2026,150.98440,125494,SBI_Small_Cap,SBI Mutual Fund
31-03-2026,147.15500,125494,SBI_Small_Cap,SBI Mutual Fund
30-03-2026,147.15840,125494,SBI_Small_Cap,SBI Mutual Fund
27-03-2026,149.86460,125494,SBI_Small_Cap,SBI Mutual Fund
25-03-2026,152.43220,125494,SBI_Small_Cap,SBI Mutual Fund
24-03-2026,149.46700,125494,SBI_Small_Cap,SBI Mutual Fund
23-03-2026,146.95390,125494,SBI_Small_Cap,SBI Mutual Fund
20-03-2026,151.75330,125494,SBI_Small_Cap,SBI Mutual Fund
19-03-2026,151.13070,125494,SBI_Small_Cap,SBI Mutual Fund
18-03-2026,154.25450,125494,SBI_Small_Cap,SBI Mutual Fund
17-03-2026,151.27860,125494,SBI_Small_Cap,SBI Mutual Fund
16-03-2026,151.07080,125494,SBI_Small_Cap,SBI Mutual Fund
13-03-2026,151.21620,125494,SBI_Small_Cap,SBI Mutual Fund
12-03-2026,154.70800,125494,SBI_Small_Cap,SBI Mutual Fund
11-03-2026,155.05950,125494,SBI_Small_Cap,SBI Mutual Fund
10-03-2026,155.45660,125494,SBI_Small_Cap,SBI Mutual Fund
09-03-2026,152.79350,125494,SBI_Small_Cap,SBI Mutual Fund
06-03-2026,155.58930,125494,SBI_Small_Cap,SBI Mutual Fund
05-03-2026,155.89300,125494,SBI_Small_Cap,SBI Mutual Fund
04-03-2026,154.74230,125494,SBI_Small_Cap,SBI Mutual Fund
02-03-2026,157.63680,125494,SBI_Small_Cap,SBI Mutual Fund
28-02-2026,160.63510,125494,SBI_Small_Cap,SBI Mutual Fund
27-02-2026,160.63890,125494,SBI_Small_Cap,SBI Mutual Fund
26-02-2026,161.80490,125494,SBI_Small_Cap,SBI Mutual Fund
25-02-2026,161.76830,125494,SBI_Small_Cap,SBI Mutual Fund
24-02-2026,161.91040,125494,SBI_Small_Cap,SBI Mutual Fund
23-02-2026,163.10010,125494,SBI_Small_Cap,SBI Mutual Fund
20-02-2026,161.93780,125494,SBI_Small_Cap,SBI Mutual Fund
