date,nav,scheme_code,fund_name,fund_house
01-06-2026,192.31950,125497,HDFC_Top_100,SBI Mutual Fund
31-05-2026,193.68360,125497,HDFC_Top_100,SBI Mutual Fund
29-05-2026,193.68480,125497,HDFC_Top_100,SBI Mutual Fund
27-05-2026,195.05010,125497,HDFC_Top_100,SBI Mutual Fund
26-05-2026,194.22580,125497,HDFC_Top_100,SBI Mutual Fund
25-05-2026,193.55990,125497,HDFC_Top_100,SBI Mutual Fund
22-05-2026,192.12270,125497,HDFC_Top_100,SBI Mutual Fund
21-05-2026,191.75750,125497,HDFC_Top_100,SBI Mutual Fund
20-05-2026,189.86610,125497,HDFC_Top_100,SBI Mutual Fund
19-05-2026,189.55530,125497,HDFC_Top_100,SBI Mutual Fund
18-05-2026,187.91260,125497,HDFC_Top_100,SBI Mutual Fund
15-05-2026,190.24050,125497,HDFC_Top_100,SBI Mutual Fund
14-05-2026,189.93450,125497,HDFC_Top_100,SBI Mutual Fund
13-05-2026,190.46400,125497,HDFC_Top_100,SBI Mutual Fund
12-05-2026,190.61520,125497,HDFC_Top_100,SBI Mutual Fund
11-05-2026,195.58600,125497,HDFC_Top_100,SBI Mutual Fund
08-05-2026,196.88210,125497,HDFC_Top_100,SBI Mutual Fund
07-05-2026,197.47530,125497,HDFC_Top_100,SBI Mutual Fund
06-05-2026,196.00360,125497,HDFC_Top_100,SBI Mutual Fund
05-05-2026,194.56180,125497,HDFC_Top_100,SBI Mutual Fund
04-05-2026,195.44690,125497,HDFC_Top_100,SBI Mutual Fund
30-04-2026,193.41310,125497,HDFC_Top_100,SBI Mutual Fund
29-04-2026,194.15230,125497,HDFC_Top_100,SBI Mutual Fund
28-04-2026,193.48430,125497,HDFC_Top_100,SBI Mutual Fund
27-04-2026,193.83170,125497,HDFC_Top_100,SBI Mutual Fund
24-04-2026,191.04250,125497,HDFC_Top_100,SBI Mutual Fund
23-04-2026,193.03170,125497,HDFC_Top_100,SBI Mutual Fund
22-04-2026,194.19280,125497,HDFC_Top_100,SBI Mutual Fund
21-04-2026,192.63970,125497,HDFC_Top_100,SBI Mutual Fund
20-04-2026,191.05830,125497,HDFC_Top_100,SBI Mutual Fund
17-04-2026,190.52420,125497,HDFC_Top_100,SBI Mutual Fund
16-04-2026,188.33160,125497,HDFC_Top_100,SBI Mutual Fund
15-04-2026,187.27860,125497,HDFC_Top_100,SBI Mutual Fund
13-04-2026,184.34910,125497,HDFC_Top_100,SBI Mutual Fund
10-04-2026,184.69670,125497,HDFC_Top_100,SBI Mutual Fund
09-04-2026,181.24550,125497,HDFC_Top_100,SBI Mutual Fund
08-04-2026,180.57830,125497,HDFC_Top_100,SBI Mutual Fund
07-04-2026,174.83420,125497,HDFC_Top_100,SBI Mutual Fund
06-04-2026,174.91510,125497,HDFC_Top_100,SBI Mutual Fund
02-04-2026,173.84710,125497,HDFC_Top_100,SBI Mutual Fund
01-04-2026,173.78200,125497,HDFC_Top_100,SBI Mutual Fund
31-03-2026,169.37060,125497,HDFC_Top_100,SBI Mutual Fund
30-03-2026,169.37080,125497,HDFC_Top_100,SBI Mutual Fund
27-03-2026,172.47390,125497,HDFC_Top_100,SBI Mutual Fund
25-03-2026,175.42110,125497,HDFC_Top_100,SBI Mutual Fund
24-03-2026,172.00490,125497,HDFC_Top_100,SBI Mutual Fund
23-03-2026,169.10910,125497,HDFC_Top_100,SBI Mutual Fund
20-03-2026,174.62050,125497,HDFC_Top_100,SBI Mutual Fund
19-03-2026,173.90040,125497,HDFC_Top_100,SBI Mutual Fund
18-03-2026,177.49080,125497,HDFC_Top_100,SBI Mutual Fund
17-03-2026,174.06280,125497,HDFC_Top_100,SBI Mutual Fund
16-03-2026,173.81980,125497,HDFC_Top_100,SBI Mutual Fund
13-03-2026,173.97540,125497,HDFC_Top_100,SBI Mutual Fund
12-03-2026,177.98880,125497,HDFC_Top_100,SBI Mutual Fund
11-03-2026,178.38910,125497,HDFC_Top_100,SBI Mutual Fund
10-03-2026,178.84190,125497,HDFC_Top_100,SBI Mutual Fund
09-03-2026,175.77420,125497,HDFC_Top_100,SBI Mutual Fund
06-03-2026,178.97840,125497,HDFC_Top_100,SBI Mutual Fund
05-03-2026,179.32390,125497,HDFC_Top_100,SBI Mutual Fund
